,DATE_TIME,lon,lat,pm25_camq,PRES,TEMP,DEWP,HUMI,IRAIN,pm25_camq2,pm10_camq,PM25_cv,CV_Iws,NE_Iws,NW_Iws,SE_Iws,SW_Iws,season,cbwd,city,class
0,2015-12-21,113.50019296423181,36.64351445978333,82.82820922454546,1015.288662619654,-0.842438456206811,-5.020019166183172,75.00221017698884,0.0,248.8279391803409,336.69245166365846,334.42856274388487,0.257066094869963,2.124586152094215,4.726773022446774,2.4703665784316153,0.9492219532445357,4,NW,Handan,high
1,2015-12-21,113.50019296423181,36.68618660468555,76.11051891818182,1015.284791476937,-0.8398864765335771,-5.020087998879747,74.98595355649236,0.0,248.92014304648674,336.5909794524394,334.3127781143572,0.2579241115343949,2.123394097156073,4.7426491409073375,2.480375038162776,0.9460533568416837,4,NW,Handan,high
2,2015-12-21,113.50019296423181,36.72885874958777,72.62405500636365,1015.2784840759398,-0.8384749407650112,-5.020743104843328,74.97268304544318,0.0,248.99262274938576,336.44687042427876,334.1566665275487,0.2588998671490506,2.122053781920267,4.756879670988748,2.4900695703831,0.9429966421465765,4,NW,Handan,high
3,2015-12-21,113.54168384106129,36.60084231488111,89.83375129,1015.3429378748434,-0.8245088495701312,-5.009017598710963,74.96632446882978,0.0,249.1626009517873,337.4925075123546,335.1753811835185,0.25471947650988147,2.1273244453932816,4.737977428801965,2.469206824399598,0.949709982123622,4,NW,Handan,high
4,2015-12-21,113.54168384106129,36.64351445978333,85.34336914153846,1015.342083566796,-0.820436658115347,-5.008473370595306,74.9450337250063,0.0,249.27900368684794,337.4288828835763,335.09582877506966,0.2554880666170474,2.1261904237689886,4.757485935151292,2.4802596928048,0.946215306115624,4,NW,Handan,high
5,2015-12-21,113.54168384106129,36.68618660468555,82.43124697642857,1015.3386781773631,-0.8175467972543475,-5.008598929089687,74.92646228588828,0.0,249.37344105698395,337.31494257213376,334.9689855572339,0.25639543012831734,2.1248620710732053,4.775820598434072,2.4911713349487337,0.9427847239650768,4,NW,Handan,high
6,2015-12-21,113.54168384106129,36.72885874958777,73.83895979923078,1015.3327016152227,-0.8158679686307589,-5.009361855762729,74.91097073551147,0.0,249.446611559543,337.1540893861391,334.79782846505464,0.2574324771917325,2.1233642955358203,4.792533260955974,2.5017977572435255,0.9394602633958916,4,NW,Handan,high
7,2015-12-21,113.54168384106129,38.39307240077426,52.23411988642858,1013.7275485922173,-1.3570966484420557,-5.222375869128984,76.70796776026005,0.0,243.21558963138114,324.4325350279213,321.47635907359324,0.30546116634896286,2.126570594828672,3.594627527621986,2.2761600527497547,0.9814091524395226,4,NW,Shijiazhuang,high
8,2015-12-21,113.58317471789076,36.47282588017446,97.6981318869231,1015.3821812226595,-0.8226711680722574,-5.003113445312215,74.99442648270342,0.0,249.12029081750723,338.1414024874789,335.8199397368086,0.2515414343691962,2.1314876630190427,4.698020165303797,2.4429707648591914,0.9581825500361879,4,NW,Handan,high
9,2015-12-21,113.58317471789076,36.51549802507668,96.94174858571427,1015.3896844602642,-0.8146753073059652,-5.000306398258718,74.96432136913826,0.0,249.31263271321444,338.2458487747203,335.89783922875347,0.25186230046854347,2.130991005810347,4.721065771047997,2.4545091585121988,0.9544714427471526,4,NW,Handan,high
10,2015-12-21,113.58317471789076,36.5581701699789,94.098636158,1015.3947096346266,-0.8077784847249878,-4.998250580733084,74.93596497711317,0.0,249.48137342267609,338.2912490534702,335.920796698529,0.2523457041035471,2.130233977313557,4.744128446224862,2.466290068078825,0.9507127560987357,4,NW,Handan,high
11,2015-12-21,113.58317471789076,36.60084231488111,88.25567221714286,1015.3971454378866,-0.8020478765163572,-4.996958571714486,74.9096657315919,0.0,249.62589985864085,338.2771064328142,335.88822619183753,0.2529930282426537,2.1292205232466728,4.766921398502435,2.478232889545729,0.946931318389383,4,NW,Handan,high
12,2015-12-21,113.58317471789076,36.64351445978333,85.34353799133332,1015.3969158461207,-0.7975364279533547,-4.996424902337842,74.88575972569312,0.0,249.7461193884441,338.20447932024615,335.8009645183497,0.2538014943827739,2.1279630617062186,4.789085933754696,2.490229984416559,0.9431593764549764,4,NW,Handan,high
13,2015-12-21,113.58317471789076,36.68618660468555,80.59917217933332,1015.3939788944987,-0.7942837036356074,-4.996626372037978,74.86461375454905,0.0,249.84244717702924,338.0759710639872,335.66125845169904,0.2547641707863055,2.1264824915894107,4.810189163936775,2.5021457666022546,0.9394368885218389,4,NW,Handan,high
14,2015-12-21,113.58317471789076,36.72885874958777,77.89423789214287,1015.3883226084931,-0.7923178401823662,-4.99752370054366,74.84662656844284,0.0,249.9157567866845,337.89560564441945,335.4726460089676,0.2558702972400403,2.1248075755972233,4.829726751680007,2.5138177682513483,0.935811271651875,4,NW,Handan,high
15,2015-12-21,113.58317471789076,38.26505596606761,65.97593242923078,1013.9785414768122,-1.2736803383317823,-5.175691588347134,76.50205971272102,0.0,245.37266257808375,326.51634729522976,323.35792368948364,0.3040930769175489,2.1186935527392388,3.656757953154673,2.3246897449036514,0.9731182396711636,4,NW,Shijiazhuang,high
16,2015-12-21,113.58317471789076,38.307728110969826,62.56958393750001,1013.914239185745,-1.2976437020050104,-5.187605290439565,76.56956933602305,0.0,244.84263990677806,325.983704774654,322.8359373522534,0.3047265604948348,2.1211417176066023,3.6311230533120753,2.3109489979404727,0.9752268548839509,4,NW,Shijiazhuang,high
