,Unnamed: 0,city,station,station_name,year,month,day,time_span,season,PM2.5,PRES,TEMP,DEWP,HUMI,IRAIN,pm25_camq,pm10_camq,PM25_cv,cbwd,CV_Iws,NE_Iws,NW_Iws,SE_Iws,SW_Iws,dem,geo,ndv,typ,road,dem_10,dem_25,dem_50,dem_75,dem_100,ndv_10,ndv_25,ndv_50,ndv_75,ndv_100,road_10,road_25,road_50,road_75,road_100,geo_10,geo_25,geo_50,geo_75,geo_100,typ_50,typ_100,typ_150,typ_200,lon,lat,TerraAOD,AquaAOD,Y-M-D
11,12366,Beijing,Beijing_Huairou,Huairou,2015,12,21,355,4,144.6666667,1017.908333,-2.545833333,-6.604653875,76.33333333,0,62.96869904,89.29693479,270.7647585,NW,0.366666667,1.175,3.345454545,1.95,0.85,1132,16,0.584,52,0.069550314,1113.4,1080.6,1065.18,1049.453333,1037.04,0.57798,0.557268,0.542554,0.532956,0.524874,0.115484132,0.083275454,0.075231917,0.076429211,0.078971032,15,14,14,14,30,52,52,52,52,116.64,40.34,477,153.5416667,2015/12/21
12,13460,Beijing,Beijing_Nongzhanguan,Nongzhanguan,2015,12,21,355,4,254.8181818,1023.041667,-1.6375,-4.71504434,81.75,0,228.477022,381.5049031,315.1302817,NE,0.45,2.027272727,1.1,1.66,1.1,1044,24,0.512,31,0.020474651,1049.4,1030.08,1010.78,993.0933333,992.57,0.5336,0.552308,0.53279,0.523512,0.519514,0.046228961,0.058311516,0.067189805,0.066350521,0.07517341,16,21,13,19,17,21,52,52,52,116.47,39.95,100,75,2015/12/21
13,14555,Beijing,Beijing_Shunyi,Shunyi,2015,12,21,355,4,182.2083333,1023.820833,-1.566666667,-5.912517688,73.95833333,0,45.73866093,67.48245564,263.4203135,NW,0.2,2.4,4.5625,1,1.1,1132,36,0.584,41,0.219073373,1111.7,1080.6,1069.74,1052.093333,1039.16,0.57798,0.557268,0.539834,0.530236,0.525995,0.115484132,0.092789662,0.079215265,0.072119347,0.083380238,36,36,47,47,47,52,52,52,52,116.65,40.41,494,190.6666667,2015/12/21
14,15650,Beijing,Beijing_Tiantan,Tiantan,2015,12,21,355,4,248.125,1023.041667,-1.6375,-4.71504434,81.75,0,204.1301712,320.4162084,321.0769618,NE,0.45,2.027272727,1.1,1.66,1.1,1055,16,0.508,53,0.020435539,1031.9,989.44,981,976.92,974.97,0.542,0.523512,0.524228,0.518658667,0.514674,0.054638453,0.039724391,0.066665413,0.062146898,0.077017645,12,12,12,12,17,52,52,52,52,116.42,39.89,294.76,153.5416667,2015/12/21
15,16746,Beijing,Beijing_Wanliu,Wanliu,2015,12,21,355,4,246.5416667,1021.4375,-1.475,-5.25349876,77.375,0,185.6702929,319.793529,308.8201361,NE,0.666666667,2.2,2.233333333,0.6,0,865,24,0.572,32,0.019641365,908.5,923.76,920.98,937.2133333,943.23,0.47799,0.471832,0.471674,0.473965333,0.475713,0.035089394,0.037609913,0.052797433,0.069312896,0.074579315,15,21,13,17,12,52,52,52,52,116.31,39.97,294.76,153.5416667,2015/12/21
16,17842,Beijing,Beijing_Wanshouxigong,Wanshouxigong,2015,12,21,355,4,270.4583333,1023.041667,-1.6375,-4.715044375,81.75,0,204.1301712,320.4162084,320.7056823,NE,0.45,2.027272727,1.1,1.66,1.1,980,12,0.476,52,0.020435539,983.3,959.32,956.76,958.28,957.97,0.554,0.502232,0.509508,0.495778667,0.505114,0.020796077,0.040270651,0.060388181,0.06367382,0.076267251,12,17,13,12,17,52,52,52,52,116.37,39.88,294.76,153.5416667,2015/12/21
17,18937,Cangzhou,Cangzhou_Cangxianchengjianju,Cangxianchengjianju,2015,12,21,355,4,380.8333333,1026.804167,-0.45,-4.383333333,76.79166667,0,234.1993131,276.9328938,317.8319363,SE,0.4,1.04,1.8,2.1125,2.15,1033,17,0.476,52,0.019809701,1037.9,1068.28,1053.88,1056.8,1051.85,0.51799,0.556948,0.54679,0.561432,0.57591,0.090945604,0.107512522,0.105506266,0.100685644,0.097869955,33,77,77,77,77,12,52,52,52,116.885,38.299,413,1273,2015/12/21
18,20026,Cangzhou,Cangzhou_Dianshizhuanbozhan,Dianshizhuanbozhan,2015,12,21,355,4,424.125,1026.804167,-0.45,-4.383333333,76.79166667,0,234.1993131,276.9328938,318.2531843,SE,0.4,1.04,1.8,2.1125,2.15,1008,17,0.56,22,0.034565822,1043.2,1072.52,1056.26,1058.653333,1052.81,0.52358,0.533748,0.54903,0.549752,0.569628,0.090945604,0.107512522,0.101431509,0.100685644,0.095815586,33,77,77,77,77,52,52,52,52,116.858,38.325,530.75,728,2015/12/21
19,21116,Cangzhou,Cangzhou_Shihuanbaoju,Shihuanbaoju,2015,12,21,355,4,392.9166667,1026.804167,-0.45,-4.383333333,76.79166667,0,234.1993131,276.9328938,317.909873,SE,0.4,1.04,1.8,2.1125,2.15,1008,17,0.56,31,0.034565822,1037.9,1072.52,1054.6,1058.48,1052.17,0.51638,0.545268,0.54591,0.559938667,0.571829,0.090945604,0.107512522,0.101431509,0.100685644,0.095077941,33,77,77,77,77,52,52,52,52,116.871,38.323,530.75,728,2015/12/21
20,22206,Chengde,Chengde_Kaifaqu,Kaifaqu,2015,12,21,355,4,221.4583333,975.7791667,-6.958333333,-10.1625,79,0,27.22850029,41.51924038,252.1514224,CV,0.185714286,0.666666667,0.9,1.116666667,0.5,946,19,0.592,31,0.323777017,946.4,942.32,949.88,958.9066667,962.05,0.64599,0.639832,0.626874,0.611938667,0.608394,0.229658868,0.193865023,0.164110952,0.165083915,0.156833936,39,39,39,39,32,22,52,22,31,117.963,40.936,306.1666667,232,2015/12/21
